query_type,duration
scan_id,0.014974
issue_flag,0.002503
sequence,0.001518
scan_id,0.033782
issue_flag,0.002099
sequence,0.001574
scan_id,0.001046
issue_flag,0.000942
sequence,0.001
scan_id,0.019499
issue_flag,0.0025
sequence,0.002998
scan_id,0.001501
issue_flag,0.001499
sequence,0.001003
scan_id,0.001499
issue_flag,0.0015
sequence,0.001
scan_id,0.021991
issue_flag,0.003188
sequence,0.003
scan_id,0.028212
issue_flag,0.002802
sequence,0.002998
scan_id,0.001999
issue_flag,0.0015
sequence,0.001598
scan_id,0.020559
issue_flag,0.002
sequence,0.002
scan_id,0.0015
issue_flag,0.001059
sequence,0.001101
scan_id,0.019399
issue_flag,0.002501
sequence,0.002495
scan_id,0.018635
issue_flag,0.002289
sequence,0.001999
scan_id,0.022586
issue_flag,0.003514
sequence,0.002281
scan_id,0.018591
issue_flag,0.003325
sequence,0.002043
scan_id,0.018432
issue_flag,0.002499
sequence,0.003
scan_id,0.01861
issue_flag,0.001876
sequence,0.001868
scan_id,0.017993
issue_flag,0.002814
sequence,0.0025
scan_id,0.043736
issue_flag,0.001497
sequence,0.002213
scan_id,0.002434
issue_flag,0.000998
sequence,0.001001
scan_id,0.019631
issue_flag,0.002002
sequence,0.001534
scan_id,0.022378
issue_flag,0.002375
sequence,0.002
scan_id,0.017019
issue_flag,0.002552
sequence,0.003168
scan_id,0.003178
issue_flag,0.002757
sequence,0.0015
scan_id,0.049992
issue_flag,0.011953
sequence,0.003084
scan_id,0.021336
issue_flag,0.002032
sequence,0.001497
scan_id,0.015
issue_flag,0.001518
sequence,0.002
scan_id,0.031439
issue_flag,0.003121
sequence,0.001989
scan_id,0.039998
issue_flag,0.002096
sequence,0.00261
scan_id,0.015431
issue_flag,0.002255
sequence,0.0015
scan_id,0.0175
issue_flag,0.002
sequence,0.002
scan_id,0.034277
issue_flag,0.001818
sequence,0.0015
scan_id,0.014892
issue_flag,0.001499
sequence,0.0015
scan_id,0.033611
issue_flag,0.002999
sequence,0.002002
scan_id,0.037096
issue_flag,0.002147
sequence,0.001598
scan_id,0.020007
issue_flag,0.003053
sequence,0.001999
scan_id,0.001502
issue_flag,0.0005
sequence,0.001
scan_id,0.020703
issue_flag,0.003167
sequence,0.002999
scan_id,0.001
issue_flag,0.001001
sequence,0.001078
scan_id,0.023482
issue_flag,0.002999
sequence,0.001999
scan_id,0.018001
issue_flag,0.001999
sequence,0.0015
scan_id,0.016092
issue_flag,0.0016
sequence,0.001779
scan_id,0.001
issue_flag,0.001001
sequence,0.001001
scan_id,0.000999
issue_flag,0.002104
sequence,0.000897
scan_id,0.015502
issue_flag,0.002016
sequence,0.001178
scan_id,0.013
issue_flag,0.002
sequence,0.0015
scan_id,0.037634
issue_flag,0.002344
sequence,0.002002
scan_id,0.018239
issue_flag,0.002583
sequence,0.001999
scan_id,0.001
issue_flag,0.000999
sequence,0.001
scan_id,0.000501
issue_flag,0.001102
sequence,0.001398
scan_id,0.013999
issue_flag,0.002001
sequence,0.002
scan_id,0.015946
issue_flag,0.002115
sequence,0.002004
